"LSOA11CD","LSOA21CD","LinkCode","Households","LSOA11Denom","LSOA21Denom","Prop11of21","Prop21of11","Category"
"E01004830","E01004830","E01004830_E01004830",714,714,714,1,1,"U"
"E01004831","E01004831","E01004831_E01004831",643,643,643,1,1,"U"
"E01004832","E01004832","E01004832_E01004832",671,671,671,1,1,"U"
"E01004833","E01004833","E01004833_E01004833",646,646,646,1,1,"U"
"E01004834","E01004834","E01004834_E01004834",582,582,582,1,1,"U"
"E01004835","E01004835","E01004835_E01004835",548,548,548,1,1,"U"
"E01004836","E01004836","E01004836_E01004836",607,607,607,1,1,"U"
"E01004837","E01004837","E01004837_E01004837",584,584,584,1,1,"U"
"E01004838","E01004838","E01004838_E01004838",652,652,652,1,1,"U"
"E01004839","E01004839","E01004839_E01004839",1005,1005,1005,1,1,"U"
"E01004840","E01004840","E01004840_E01004840",733,733,733,1,1,"U"
"E01004841","E01004841","E01004841_E01004841",664,664,664,1,1,"U"
"E01004842","E01004842","E01004842_E01004842",713,713,713,1,1,"U"
"E01004843","E01004843","E01004843_E01004843",614,614,614,1,1,"U"
"E01004844","E01004844","E01004844_E01004844",611,611,611,1,1,"U"
"E01004845","E01004845","E01004845_E01004845",714,714,714,1,1,"U"
"E01004846","E01004846","E01004846_E01004846",472,472,472,1,1,"U"
"E01004847","E01004847","E01004847_E01004847",647,647,647,1,1,"U"
"E01004848","E01004848","E01004848_E01004848",782,782,782,1,1,"U"
"E01004849","E01004849","E01004849_E01004849",495,495,495,1,1,"U"
"E01004850","E01004850","E01004850_E01004850",791,791,791,1,1,"U"
"E01004851","E01004851","E01004851_E01004851",624,624,624,1,1,"U"
"E01004852","E01004852","E01004852_E01004852",484,484,484,1,1,"U"
"E01004853","E01004853","E01004853_E01004853",506,506,506,1,1,"U"
"E01004854","E01004854","E01004854_E01004854",454,454,454,1,1,"U"
"E01004855","E01004855","E01004855_E01004855",628,628,628,1,1,"U"
"E01004856","E01004856","E01004856_E01004856",659,659,659,1,1,"U"
"E01004857","E01004857","E01004857_E01004857",642,642,642,1,1,"U"
"E01004858","E01004858","E01004858_E01004858",735,735,735,1,1,"U"
"E01004859","E01004859","E01004859_E01004859",704,704,704,1,1,"U"
"E01004860","E01004860","E01004860_E01004860",683,683,683,1,1,"U"
"E01004861","E01004861","E01004861_E01004861",662,662,662,1,1,"U"
"E01004862","E01004862","E01004862_E01004862",587,587,587,1,1,"U"
"E01004863","E01004863","E01004863_E01004863",643,643,643,1,1,"U"
"E01004864","E01004864","E01004864_E01004864",654,654,654,1,1,"U"
"E01004865","E01004865","E01004865_E01004865",751,751,751,1,1,"U"
"E01004866","E01004866","E01004866_E01004866",740,740,740,1,1,"U"
"E01004867","E01004867","E01004867_E01004867",565,565,565,1,1,"U"
"E01004868","E01004868","E01004868_E01004868",726,726,726,1,1,"U"
"E01004869","E01004869","E01004869_E01004869",828,828,828,1,1,"U"
"E01004870","E01004870","E01004870_E01004870",760,760,760,1,1,"U"
"E01004871","E01004871","E01004871_E01004871",508,508,508,1,1,"U"
"E01004872","E01004872","E01004872_E01004872",628,628,628,1,1,"U"
"E01004873","E01004873","E01004873_E01004873",600,600,600,1,1,"U"
"E01004874","E01004874","E01004874_E01004874",653,653,653,1,1,"U"
"E01004875","E01004875","E01004875_E01004875",658,658,658,1,1,"U"
"E01004876","E01004876","E01004876_E01004876",799,799,799,1,1,"U"
"E01004877","E01004877","E01004877_E01004877",657,657,657,1,1,"U"
"E01004878","E01004878","E01004878_E01004878",534,534,534,1,1,"U"
"E01004879","E01004879","E01004879_E01004879",558,558,558,1,1,"U"
"E01004880","E01004880","E01004880_E01004880",505,505,505,1,1,"U"
"E01004881","E01004881","E01004881_E01004881",782,782,782,1,1,"U"
"E01004882","E01004882","E01004882_E01004882",629,629,629,1,1,"U"
"E01004883","E01004883","E01004883_E01004883",791,791,791,1,1,"U"
"E01004884","E01004884","E01004884_E01004884",699,699,699,1,1,"U"
"E01004885","E01004885","E01004885_E01004885",568,568,568,1,1,"U"
"E01004886","E01004886","E01004886_E01004886",628,628,628,1,1,"U"
"E01004887","E01004887","E01004887_E01004887",609,609,609,1,1,"U"
"E01004888","E01004888","E01004888_E01004888",570,570,570,1,1,"U"
"E01004889","E01004889","E01004889_E01004889",636,636,636,1,1,"U"
"E01004890","E01004890","E01004890_E01004890",685,685,685,1,1,"U"
"E01004891","E01004891","E01004891_E01004891",746,746,746,1,1,"U"
"E01004892","E01004892","E01004892_E01004892",707,707,707,1,1,"U"
"E01004893","E01004893","E01004893_E01004893",586,586,586,1,1,"U"
"E01004894","E01004894","E01004894_E01004894",889,889,889,1,1,"U"
"E01004895","E01004895","E01004895_E01004895",627,627,627,1,1,"U"
"E01004896","E01004896","E01004896_E01004896",541,541,541,1,1,"U"
"E01004897","E01004897","E01004897_E01004897",450,450,450,1,1,"U"
"E01004899","E01004899","E01004899_E01004899",614,614,614,1,1,"U"
"E01004900","E01004900","E01004900_E01004900",641,641,641,1,1,"U"
"E01004901","E01004901","E01004901_E01004901",765,765,765,1,1,"U"
"E01004902","E01004902","E01004902_E01004902",872,872,872,1,1,"U"
"E01004903","E01004903","E01004903_E01004903",579,579,579,1,1,"U"
"E01004904","E01004904","E01004904_E01004904",741,741,741,1,1,"U"
"E01004905","E01004905","E01004905_E01004905",667,667,667,1,1,"U"
"E01004906","E01004906","E01004906_E01004906",883,883,883,1,1,"U"
"E01004907","E01004907","E01004907_E01004907",540,540,540,1,1,"U"
"E01004908","E01004908","E01004908_E01004908",557,557,557,1,1,"U"
"E01004909","E01004909","E01004909_E01004909",643,643,643,1,1,"U"
"E01004910","E01004910","E01004910_E01004910",931,931,931,1,1,"U"
"E01004911","E01004911","E01004911_E01004911",722,722,722,1,1,"U"
"E01004912","E01004912","E01004912_E01004912",650,650,650,1,1,"U"
"E01004913","E01004913","E01004913_E01004913",787,787,787,1,1,"U"
"E01004914","E01004914","E01004914_E01004914",521,521,521,1,1,"U"
"E01004915","E01004915","E01004915_E01004915",526,526,526,1,1,"U"
"E01004916","E01004916","E01004916_E01004916",673,673,673,1,1,"U"
"E01004917","E01004917","E01004917_E01004917",955,955,955,1,1,"U"
"E01004918","E01004918","E01004918_E01004918",521,521,521,1,1,"U"
"E01004919","E01004919","E01004919_E01004919",648,648,648,1,1,"U"
"E01004920","E01004920","E01004920_E01004920",679,679,679,1,1,"U"
"E01004921","E01004921","E01004921_E01004921",722,722,722,1,1,"U"
"E01004922","E01004922","E01004922_E01004922",907,907,907,1,1,"U"
"E01004923","E01004923","E01004923_E01004923",624,624,624,1,1,"U"
"E01004924","E01004924","E01004924_E01004924",625,625,625,1,1,"U"
"E01004925","E01004925","E01004925_E01004925",673,673,673,1,1,"U"
"E01004926","E01004926","E01004926_E01004926",519,519,519,1,1,"U"
"E01004927","E01004927","E01004927_E01004927",1025,1025,1025,1,1,"U"
"E01004928","E01004928","E01004928_E01004928",689,689,689,1,1,"U"
"E01004929","E01004929","E01004929_E01004929",1133,1133,1133,1,1,"U"
"E01004930","E01004930","E01004930_E01004930",628,628,628,1,1,"U"
"E01004931","E01004931","E01004931_E01004931",730,730,730,1,1,"U"
"E01004932","E01004932","E01004932_E01004932",724,724,724,1,1,"U"
"E01004933","E01004933","E01004933_E01004933",577,577,577,1,1,"U"
"E01004934","E01004934","E01004934_E01004934",555,555,555,1,1,"U"
"E01004935","E01004935","E01004935_E01004935",749,749,749,1,1,"U"
"E01004936","E01004936","E01004936_E01004936",1031,1031,1031,1,1,"U"
"E01004937","E01004937","E01004937_E01004937",627,627,627,1,1,"U"
"E01004938","E01004938","E01004938_E01004938",595,595,595,1,1,"U"
"E01004939","E01004939","E01004939_E01004939",716,716,716,1,1,"U"
"E01004940","E01004940","E01004940_E01004940",614,614,614,1,1,"U"
"E01004941","E01004941","E01004941_E01004941",740,740,740,1,1,"U"
"E01004942","E01004942","E01004942_E01004942",641,641,641,1,1,"U"
"E01004943","E01004943","E01004943_E01004943",717,717,717,1,1,"U"
"E01004944","E01004944","E01004944_E01004944",628,628,628,1,1,"U"
"E01004945","E01004945","E01004945_E01004945",650,650,650,1,1,"U"
"E01004946","E01004946","E01004946_E01004946",789,789,789,1,1,"U"
"E01004947","E01004947","E01004947_E01004947",643,643,643,1,1,"U"
"E01004948","E01004948","E01004948_E01004948",847,847,847,1,1,"U"
"E01004949","E01004949","E01004949_E01004949",579,579,579,1,1,"U"
"E01004950","E01004950","E01004950_E01004950",618,618,618,1,1,"U"
"E01004951","E01004951","E01004951_E01004951",649,649,649,1,1,"U"
"E01004952","E01004952","E01004952_E01004952",613,613,613,1,1,"U"
"E01004953","E01004953","E01004953_E01004953",661,661,661,1,1,"U"
"E01004954","E01004954","E01004954_E01004954",645,645,645,1,1,"U"
"E01004955","E01004955","E01004955_E01004955",552,552,552,1,1,"U"
"E01004956","E01004956","E01004956_E01004956",774,774,774,1,1,"U"
"E01004957","E01004957","E01004957_E01004957",797,797,797,1,1,"U"
"E01004958","E01004958","E01004958_E01004958",692,692,692,1,1,"U"
"E01004959","E01004959","E01004959_E01004959",727,727,727,1,1,"U"
"E01004960","E01004960","E01004960_E01004960",650,650,650,1,1,"U"
"E01004961","E01004961","E01004961_E01004961",630,630,630,1,1,"U"
"E01004962","E01004962","E01004962_E01004962",868,868,868,1,1,"U"
"E01004963","E01004963","E01004963_E01004963",643,643,643,1,1,"U"
"E01004964","E01004964","E01004964_E01004964",863,863,863,1,1,"U"
"E01004965","E01004965","E01004965_E01004965",502,502,502,1,1,"U"
"E01004966","E01004966","E01004966_E01004966",756,756,756,1,1,"U"
"E01004967","E01004967","E01004967_E01004967",463,463,463,1,1,"U"
"E01004968","E01004968","E01004968_E01004968",617,617,617,1,1,"U"
"E01004969","E01004969","E01004969_E01004969",709,709,709,1,1,"U"
"E01004970","E01004970","E01004970_E01004970",610,610,610,1,1,"U"
"E01004971","E01004971","E01004971_E01004971",600,600,600,1,1,"U"
"E01004972","E01004972","E01004972_E01004972",567,567,567,1,1,"U"
"E01004973","E01004973","E01004973_E01004973",649,649,649,1,1,"U"
"E01004974","E01004974","E01004974_E01004974",616,616,616,1,1,"U"
"E01004975","E01004975","E01004975_E01004975",765,765,765,1,1,"U"
"E01004976","E01004976","E01004976_E01004976",638,638,638,1,1,"U"
"E01004977","E01004977","E01004977_E01004977",768,768,768,1,1,"U"
"E01004978","E01004978","E01004978_E01004978",680,680,680,1,1,"U"
"E01004979","E01004979","E01004979_E01004979",673,673,673,1,1,"U"
"E01004980","E01004980","E01004980_E01004980",655,655,655,1,1,"U"
"E01004981","E01004981","E01004981_E01004981",641,641,641,1,1,"U"
"E01004982","E01004982","E01004982_E01004982",640,640,640,1,1,"U"
"E01004983","E01004983","E01004983_E01004983",572,572,572,1,1,"U"
"E01004984","E01004984","E01004984_E01004984",568,568,568,1,1,"U"
"E01004985","E01004985","E01004985_E01004985",602,602,602,1,1,"U"
"E01004986","E01004986","E01004986_E01004986",833,833,833,1,1,"U"
"E01004987","E01004987","E01004987_E01004987",663,663,663,1,1,"U"
"E01004988","E01004988","E01004988_E01004988",589,589,589,1,1,"U"
"E01004989","E01004989","E01004989_E01004989",572,572,572,1,1,"U"
"E01004990","E01004990","E01004990_E01004990",692,692,692,1,1,"U"
"E01004991","E01004991","E01004991_E01004991",615,615,615,1,1,"U"
"E01004992","E01004992","E01004992_E01004992",635,635,635,1,1,"U"
"E01004993","E01004993","E01004993_E01004993",777,777,777,1,1,"U"
"E01004994","E01004994","E01004994_E01004994",637,637,637,1,1,"U"
"E01004995","E01004995","E01004995_E01004995",636,636,636,1,1,"U"
"E01004996","E01004996","E01004996_E01004996",744,744,744,1,1,"U"
"E01004997","E01004997","E01004997_E01004997",594,594,594,1,1,"U"
"E01004998","E01004998","E01004998_E01004998",728,728,728,1,1,"U"
"E01004999","E01004999","E01004999_E01004999",572,572,572,1,1,"U"
"E01005000","E01005000","E01005000_E01005000",591,591,591,1,1,"U"
"E01005001","E01005001","E01005001_E01005001",486,486,486,1,1,"U"
"E01005002","E01005002","E01005002_E01005002",656,656,656,1,1,"U"
"E01005003","E01005003","E01005003_E01005003",727,727,727,1,1,"U"
"E01005004","E01005004","E01005004_E01005004",850,850,850,1,1,"U"
"E01005005","E01005005","E01005005_E01005005",626,626,626,1,1,"U"
"E01005006","E01005006","E01005006_E01005006",810,810,810,1,1,"U"
"E01005007","E01005007","E01005007_E01005007",704,704,704,1,1,"U"
"E01005008","E01005008","E01005008_E01005008",966,966,966,1,1,"U"
"E01005009","E01005009","E01005009_E01005009",870,870,870,1,1,"U"
"E01005010","E01005010","E01005010_E01005010",647,647,647,1,1,"U"
"E01005011","E01005011","E01005011_E01005011",597,597,597,1,1,"U"
"E01005012","E01005012","E01005012_E01005012",772,772,772,1,1,"U"
"E01005013","E01005013","E01005013_E01005013",1029,1029,1029,1,1,"U"
"E01005014","E01005014","E01005014_E01005014",750,750,750,1,1,"U"
"E01005015","E01005015","E01005015_E01005015",691,691,691,1,1,"U"
"E01005016","E01005016","E01005016_E01005016",720,720,720,1,1,"U"
"E01005017","E01005017","E01005017_E01005017",783,783,783,1,1,"U"
"E01005018","E01005018","E01005018_E01005018",729,729,729,1,1,"U"
"E01005019","E01005019","E01005019_E01005019",624,624,624,1,1,"U"
"E01005020","E01005020","E01005020_E01005020",498,498,498,1,1,"U"
"E01005021","E01005021","E01005021_E01005021",400,400,400,1,1,"U"
"E01005022","E01005022","E01005022_E01005022",644,644,644,1,1,"U"
"E01005023","E01005023","E01005023_E01005023",541,541,541,1,1,"U"
"E01005024","E01005024","E01005024_E01005024",978,978,978,1,1,"U"
"E01005025","E01005025","E01005025_E01005025",726,726,726,1,1,"U"
"E01005026","E01005026","E01005026_E01005026",656,656,656,1,1,"U"
"E01005027","E01005027","E01005027_E01005027",688,688,688,1,1,"U"
"E01005028","E01005028","E01005028_E01005028",817,817,817,1,1,"U"
"E01005029","E01005029","E01005029_E01005029",636,636,636,1,1,"U"
"E01005030","E01005030","E01005030_E01005030",775,775,775,1,1,"U"
"E01005031","E01005031","E01005031_E01005031",632,632,632,1,1,"U"
"E01005032","E01005032","E01005032_E01005032",556,556,556,1,1,"U"
"E01005033","E01005033","E01005033_E01005033",597,597,597,1,1,"U"
"E01005034","E01005034","E01005034_E01005034",703,703,703,1,1,"U"
"E01005035","E01005035","E01005035_E01005035",655,655,655,1,1,"U"
"E01005036","E01005036","E01005036_E01005036",1069,1069,1069,1,1,"U"
"E01005037","E01005037","E01005037_E01005037",628,628,628,1,1,"U"
"E01005038","E01005038","E01005038_E01005038",523,523,523,1,1,"U"
"E01005039","E01005039","E01005039_E01005039",694,694,694,1,1,"U"
"E01005040","E01005040","E01005040_E01005040",688,688,688,1,1,"U"
"E01005041","E01005041","E01005041_E01005041",531,531,531,1,1,"U"
"E01005042","E01005042","E01005042_E01005042",607,607,607,1,1,"U"
"E01005043","E01005043","E01005043_E01005043",494,494,494,1,1,"U"
"E01005044","E01005044","E01005044_E01005044",476,476,476,1,1,"U"
"E01005045","E01005045","E01005045_E01005045",725,725,725,1,1,"U"
"E01005046","E01005046","E01005046_E01005046",672,672,672,1,1,"U"
"E01005047","E01005047","E01005047_E01005047",588,588,588,1,1,"U"
"E01005048","E01005048","E01005048_E01005048",673,673,673,1,1,"U"
"E01005049","E01005049","E01005049_E01005049",757,757,757,1,1,"U"
"E01005050","E01005050","E01005050_E01005050",825,825,825,1,1,"U"
"E01005051","E01005051","E01005051_E01005051",678,678,678,1,1,"U"
"E01005052","E01005052","E01005052_E01005052",608,608,608,1,1,"U"
"E01005053","E01005053","E01005053_E01005053",633,633,633,1,1,"U"
"E01005054","E01005054","E01005054_E01005054",711,711,711,1,1,"U"
"E01005055","E01005055","E01005055_E01005055",585,585,585,1,1,"U"
"E01005056","E01005056","E01005056_E01005056",598,598,598,1,1,"U"
"E01005057","E01005057","E01005057_E01005057",663,663,663,1,1,"U"
"E01005058","E01005058","E01005058_E01005058",541,541,541,1,1,"U"
"E01005059","E01005059","E01005059_E01005059",750,750,750,1,1,"U"
"E01005060","E01005060","E01005060_E01005060",738,738,738,1,1,"U"
"E01005061","E01005061","E01005061_E01005061",658,658,658,1,1,"U"
"E01005062","E01034115","E01005062_E01034115",400,743,400,1,0.53835800807537,"S"
"E01005062","E01034116","E01005062_E01034116",343,743,343,1,0.46164199192463,"S"
"E01005063","E01005063","E01005063_E01005063",871,871,871,1,1,"U"
"E01005065","E01005065","E01005065_E01005065",789,789,789,1,1,"U"
"E01005066","E01005066","E01005066_E01005066",536,536,536,1,1,"U"
"E01005067","E01005067","E01005067_E01005067",808,808,808,1,1,"U"
"E01005068","E01005068","E01005068_E01005068",722,722,722,1,1,"U"
"E01005069","E01005069","E01005069_E01005069",654,654,654,1,1,"U"
"E01005070","E01005070","E01005070_E01005070",791,791,791,1,1,"U"
"E01005071","E01005071","E01005071_E01005071",734,734,734,1,1,"U"
"E01005072","E01005072","E01005072_E01005072",862,862,862,1,1,"U"
"E01005073","E01005073","E01005073_E01005073",618,618,618,1,1,"U"
"E01005074","E01005074","E01005074_E01005074",648,648,648,1,1,"U"
"E01005075","E01005075","E01005075_E01005075",688,688,688,1,1,"U"
"E01005076","E01005076","E01005076_E01005076",738,738,738,1,1,"U"
"E01005077","E01005077","E01005077_E01005077",624,624,624,1,1,"U"
"E01005078","E01005078","E01005078_E01005078",841,841,841,1,1,"U"
"E01005079","E01005079","E01005079_E01005079",653,653,653,1,1,"U"
"E01005081","E01005081","E01005081_E01005081",761,761,761,1,1,"U"
"E01005082","E01005082","E01005082_E01005082",758,758,758,1,1,"U"
"E01005083","E01005083","E01005083_E01005083",953,953,953,1,1,"U"
"E01005084","E01005084","E01005084_E01005084",848,848,848,1,1,"U"
"E01005085","E01005085","E01005085_E01005085",590,590,590,1,1,"U"
"E01005086","E01005086","E01005086_E01005086",708,708,708,1,1,"U"
"E01005087","E01005087","E01005087_E01005087",810,810,810,1,1,"U"
"E01005088","E01005088","E01005088_E01005088",734,734,734,1,1,"U"
"E01005089","E01005089","E01005089_E01005089",709,709,709,1,1,"U"
"E01005090","E01005090","E01005090_E01005090",865,865,865,1,1,"U"
"E01005091","E01005091","E01005091_E01005091",867,867,867,1,1,"U"
"E01005092","E01005092","E01005092_E01005092",785,785,785,1,1,"U"
"E01005093","E01005093","E01005093_E01005093",679,679,679,1,1,"U"
"E01005094","E01005094","E01005094_E01005094",678,678,678,1,1,"U"
"E01005097","E01005097","E01005097_E01005097",649,649,649,1,1,"U"
"E01005098","E01005098","E01005098_E01005098",763,763,763,1,1,"U"
"E01005099","E01005099","E01005099_E01005099",695,695,695,1,1,"U"
"E01005100","E01005100","E01005100_E01005100",656,656,656,1,1,"U"
"E01005101","E01005101","E01005101_E01005101",744,744,744,1,1,"U"
"E01005102","E01005102","E01005102_E01005102",622,622,622,1,1,"U"
"E01005103","E01005103","E01005103_E01005103",865,865,865,1,1,"U"
"E01005104","E01005104","E01005104_E01005104",821,821,821,1,1,"U"
"E01005105","E01005105","E01005105_E01005105",1180,1180,1180,1,1,"U"
"E01005106","E01005106","E01005106_E01005106",875,875,875,1,1,"U"
"E01005107","E01005107","E01005107_E01005107",728,728,728,1,1,"U"
"E01005108","E01034111","E01005108_E01034111",555,1139,555,1,0.487269534679543,"S"
"E01005108","E01034113","E01005108_E01034113",584,1139,584,1,0.512730465320457,"S"
"E01005111","E01005111","E01005111_E01005111",607,607,607,1,1,"U"
"E01005112","E01005112","E01005112_E01005112",660,660,660,1,1,"U"
"E01005113","E01005113","E01005113_E01005113",810,810,810,1,1,"U"
"E01005114","E01005114","E01005114_E01005114",810,810,810,1,1,"U"
"E01005115","E01005115","E01005115_E01005115",737,737,737,1,1,"U"
"E01005116","E01005116","E01005116_E01005116",1022,1022,1022,1,1,"U"
"E01005117","E01005117","E01005117_E01005117",977,977,977,1,1,"U"
"E01005118","E01005118","E01005118_E01005118",474,474,474,1,1,"U"
"E01005119","E01005119","E01005119_E01005119",666,666,666,1,1,"U"
"E01005120","E01005120","E01005120_E01005120",661,661,661,1,1,"U"
"E01005121","E01005121","E01005121_E01005121",616,616,616,1,1,"U"
"E01005122","E01005122","E01005122_E01005122",646,646,646,1,1,"U"
"E01005123","E01005123","E01005123_E01005123",622,622,622,1,1,"U"
"E01005124","E01005124","E01005124_E01005124",672,672,672,1,1,"U"
"E01005125","E01005125","E01005125_E01005125",615,615,615,1,1,"U"
"E01005126","E01005126","E01005126_E01005126",811,811,811,1,1,"U"
"E01005128","E01005128","E01005128_E01005128",711,711,711,1,1,"U"
"E01005129","E01005129","E01005129_E01005129",803,803,803,1,1,"U"
"E01005130","E01005130","E01005130_E01005130",738,738,738,1,1,"U"
"E01005132","E01005132","E01005132_E01005132",862,862,862,1,1,"U"
"E01005133","E01034133","E01005133_E01034133",877,1546,877,1,0.567270375161708,"S"
"E01005133","E01034134","E01005133_E01034134",669,1546,669,1,0.432729624838292,"S"
"E01005135","E01005135","E01005135_E01005135",656,656,656,1,1,"U"
"E01005136","E01005136","E01005136_E01005136",613,613,613,1,1,"U"
"E01005138","E01005138","E01005138_E01005138",996,996,996,1,1,"U"
"E01005139","E01005139","E01005139_E01005139",766,766,766,1,1,"U"
"E01005140","E01034107","E01005140_E01034107",643,1380,643,1,0.465942028985507,"S"
"E01005140","E01034108","E01005140_E01034108",737,1380,737,1,0.534057971014493,"S"
"E01005141","E01005141","E01005141_E01005141",798,798,798,1,1,"U"
"E01005142","E01005142","E01005142_E01005142",710,710,710,1,1,"U"
"E01005143","E01005143","E01005143_E01005143",800,800,800,1,1,"U"
"E01005145","E01005145","E01005145_E01005145",764,764,764,1,1,"U"
"E01005146","E01034109","E01005146_E01034109",410,929,410,1,0.441334768568353,"S"
"E01005146","E01034110","E01005146_E01034110",519,929,519,1,0.558665231431647,"S"
"E01005147","E01005147","E01005147_E01005147",888,888,888,1,1,"U"
"E01005149","E01005149","E01005149_E01005149",510,510,510,1,1,"U"
"E01005150","E01005150","E01005150_E01005150",829,829,829,1,1,"U"
"E01005151","E01005151","E01005151_E01005151",701,701,701,1,1,"U"
"E01005152","E01005152","E01005152_E01005152",583,583,583,1,1,"U"
"E01005153","E01005153","E01005153_E01005153",784,784,784,1,1,"U"
"E01005154","E01005154","E01005154_E01005154",661,661,661,1,1,"U"
"E01005155","E01005155","E01005155_E01005155",663,663,663,1,1,"U"
"E01005156","E01005156","E01005156_E01005156",620,620,620,1,1,"U"
"E01005157","E01005157","E01005157_E01005157",580,580,580,1,1,"U"
"E01005158","E01005158","E01005158_E01005158",695,695,695,1,1,"U"
"E01005159","E01005159","E01005159_E01005159",674,674,674,1,1,"U"
"E01005160","E01005160","E01005160_E01005160",704,704,704,1,1,"U"
"E01005161","E01005161","E01005161_E01005161",659,659,659,1,1,"U"
"E01005162","E01005162","E01005162_E01005162",658,658,658,1,1,"U"
"E01005163","E01005163","E01005163_E01005163",650,650,650,1,1,"U"
"E01005164","E01005164","E01005164_E01005164",777,777,777,1,1,"U"
"E01005165","E01005165","E01005165_E01005165",882,882,882,1,1,"U"
"E01005166","E01005166","E01005166_E01005166",708,708,708,1,1,"U"
"E01005167","E01005167","E01005167_E01005167",626,626,626,1,1,"U"
"E01005168","E01005168","E01005168_E01005168",499,499,499,1,1,"U"
"E01005169","E01005169","E01005169_E01005169",601,601,601,1,1,"U"
"E01005170","E01005170","E01005170_E01005170",584,584,584,1,1,"U"
"E01005171","E01005171","E01005171_E01005171",696,696,696,1,1,"U"
"E01005172","E01005172","E01005172_E01005172",798,798,798,1,1,"U"
"E01005173","E01005173","E01005173_E01005173",712,712,712,1,1,"U"
"E01005174","E01005174","E01005174_E01005174",607,607,607,1,1,"U"
"E01005175","E01005175","E01005175_E01005175",681,681,681,1,1,"U"
"E01005176","E01005176","E01005176_E01005176",904,904,904,1,1,"U"
"E01005177","E01005177","E01005177_E01005177",618,618,618,1,1,"U"
"E01005178","E01005178","E01005178_E01005178",725,725,725,1,1,"U"
"E01005179","E01005179","E01005179_E01005179",935,935,935,1,1,"U"
"E01005180","E01005180","E01005180_E01005180",776,776,776,1,1,"U"
"E01005181","E01005181","E01005181_E01005181",691,691,691,1,1,"U"
"E01005182","E01005182","E01005182_E01005182",459,459,459,1,1,"U"
"E01005183","E01005183","E01005183_E01005183",649,649,649,1,1,"U"
"E01005184","E01005184","E01005184_E01005184",798,798,798,1,1,"U"
"E01005185","E01005185","E01005185_E01005185",497,497,497,1,1,"U"
"E01005186","E01005186","E01005186_E01005186",1050,1050,1050,1,1,"U"
"E01005187","E01005187","E01005187_E01005187",815,815,815,1,1,"U"
"E01005188","E01005188","E01005188_E01005188",741,741,741,1,1,"U"
"E01005189","E01005189","E01005189_E01005189",800,800,800,1,1,"U"
"E01005190","E01005190","E01005190_E01005190",947,947,947,1,1,"U"
"E01005191","E01005191","E01005191_E01005191",800,800,800,1,1,"U"
"E01005192","E01005192","E01005192_E01005192",662,662,662,1,1,"U"
"E01005193","E01005193","E01005193_E01005193",816,816,816,1,1,"U"
"E01005194","E01034137","E01005194_E01034137",512,965,512,1,0.530569948186528,"S"
"E01005194","E01034138","E01005194_E01034138",453,965,453,1,0.469430051813472,"S"
"E01005195","E01005195","E01005195_E01005195",866,866,866,1,1,"U"
"E01005196","E01034120","E01005196_E01034120",594,1042,594,1,0.570057581573896,"S"
"E01005196","E01034121","E01005196_E01034121",448,1042,448,1,0.429942418426104,"S"
"E01005197","E01005197","E01005197_E01005197",707,707,707,1,1,"U"
"E01005198","E01005198","E01005198_E01005198",681,681,681,1,1,"U"
"E01005199","E01005199","E01005199_E01005199",905,905,905,1,1,"U"
"E01005200","E01005200","E01005200_E01005200",956,956,956,1,1,"U"
"E01005201","E01005201","E01005201_E01005201",787,787,787,1,1,"U"
"E01005202","E01005202","E01005202_E01005202",868,868,868,1,1,"U"
"E01005203","E01005203","E01005203_E01005203",854,854,854,1,1,"U"
"E01005205","E01005205","E01005205_E01005205",876,876,876,1,1,"U"
"E01005206","E01005206","E01005206_E01005206",724,724,724,1,1,"U"
"E01005207","E01005207","E01005207_E01005207",771,771,771,1,1,"U"
"E01005208","E01005208","E01005208_E01005208",1011,1011,1011,1,1,"U"
"E01005209","E01034117","E01005209_E01034117",466,924,466,1,0.504329004329004,"S"
"E01005209","E01034118","E01005209_E01034118",458,924,458,1,0.495670995670996,"S"
"E01005210","E01005210","E01005210_E01005210",426,426,426,1,1,"U"
"E01005212","E01005212","E01005212_E01005212",838,838,838,1,1,"U"
"E01005213","E01005213","E01005213_E01005213",1186,1186,1186,1,1,"U"
"E01005214","E01005214","E01005214_E01005214",1040,1040,1040,1,1,"U"
"E01005215","E01005215","E01005215_E01005215",722,722,722,1,1,"U"
"E01005216","E01005216","E01005216_E01005216",611,611,611,1,1,"U"
"E01005217","E01005217","E01005217_E01005217",702,702,702,1,1,"U"
"E01005218","E01005218","E01005218_E01005218",625,625,625,1,1,"U"
"E01005219","E01005219","E01005219_E01005219",945,945,945,1,1,"U"
"E01005220","E01005220","E01005220_E01005220",748,748,748,1,1,"U"
"E01005221","E01005221","E01005221_E01005221",851,851,851,1,1,"U"
"E01005222","E01005222","E01005222_E01005222",921,921,921,1,1,"U"
"E01005223","E01005223","E01005223_E01005223",606,606,606,1,1,"U"
"E01005224","E01005224","E01005224_E01005224",720,720,720,1,1,"U"
"E01005225","E01005225","E01005225_E01005225",866,866,866,1,1,"U"
"E01005226","E01005226","E01005226_E01005226",705,705,705,1,1,"U"
"E01005227","E01005227","E01005227_E01005227",763,763,763,1,1,"U"
"E01005228","E01005228","E01005228_E01005228",875,875,875,1,1,"U"
"E01005229","E01005229","E01005229_E01005229",595,595,595,1,1,"U"
"E01005230","E01005230","E01005230_E01005230",802,802,802,1,1,"U"
